Id,Name,Vorname,Titel,Partei,Wahlkreis,WahlkreisOrderBy
c9cfe296-21d2-47d8-ae00-719c9411d6a1,Haueter,Kurt,,SVP,,0
1f9e8fe3-7ed8-43dc-8ddf-ecb98bb410b8,Hauri,Andreas,,GLP,,0
3c00c31b-0bef-406c-a78c-62fd08e17d98,Hauri,Theo,,SVP,,0
2c582bb1-0723-44c3-b1c7-3a43be2ff79a,Heer,Alfred,,SVP,,0
2da4a679-6dde-4a4d-ae05-e2ad4a1a3cee,Heinrich,Uschi,,SP,,0
af7eb3bf-d095-4438-bc6b-847b3d0db23b,Helfenstein,Urs,,SP,4 und 5,102
84905139-a235-414a-8b13-1c919d3b6005,Hensch-Stadelmann,Theresa G.,,FDP,,0
f65942f7-050c-4b9a-94f9-b5e018393116,Herzig,Muriel,,Grüne,,0
8e0987f6-863d-4eaa-afb9-8ac3d4ca9209,Heygel,Reto,,SP,,0
0ec35f0a-412c-4ad9-b323-4400c153dff9,Hintsch,Gustav,Dr.,SP,,0
008147e4-b161-4162-96c1-139f04f95f5d,Hirsiger,Eva,,Grüne,,0
d3369b82-b567-40d9-b897-c93b938debe1,Hirzel,Astrid,,CVP,,0
32c76e6a-4705-4ef7-adef-62ebadb6506f,Hirzel,Charles,,SP,,0
c44fbc34-c023-49ab-bde6-b3cb84a8d1f9,Hochreutener,Andrea,,SP,,0
a0692db6-12d8-462b-a02d-b3b3f3045551,Hofer Frei,Simone,,GLP, 6,103
fdc5fd5f-31da-4433-a02b-bc25462da79e,Hofstetter,Stefan,,SP,,0
ed35fadf-011c-4292-a074-459bca16e962,Hohl,Marc,,FDP,,0
532de5ba-df88-4d45-b75a-ee1915011826,Hohl,Marcel R.,,FDP,,0
5dafbac4-2ee9-4597-a5a7-9643931a782b,Hollenweger,Vreni,,SP,,0
92df5620-a5ce-442b-8bff-f213e489f001,Huber,Patrick Hadi,,SP,4 und 5,102
62689894-2306-442d-8f92-12e84de90619,Huber,Reni,,SP,,0
4a6e77d5-ace7-4d03-ad62-eb1a14923b21,Huber,Thelma,,FraP,,0
b4a24a7b-abe0-4fd7-96d0-f55676dd7861,Huberson,Nadia,,SP,11,107
8086a557-dd3c-47bf-92c6-50bd2ba3b352,Hubmann,Vreni,Prof. Dr.,SP,,0
f8116b50-6f14-4d5a-8c18-49ba7ae9ae56,Hug,Adrian,,CVP,,0
28d69d35-f7ea-414f-b58a-eba868cfebb1,Hug,Christina,,Grüne,,0
b37fdd87-03a3-4505-9b39-85823968e10d,Hug,Christoph,,Grüne,,0
b5818a06-59b1-49e6-9496-0d26953fbc9d,Hungerbühler,Markus,,CVP,,0
fb3c8de1-8a1d-48f0-a0c1-81de7a118740,Hüni,Guido,,GLP,4 und 5,102
bd07bf4e-9e94-459a-a7cd-a376d4e8003e,Huser,Christian,,FDP,11,107
411c83b4-f920-4958-806c-e4bac490dbec,Hüssy,Kurt,,SVP,,0
3ad30c09-6873-4ee0-a9cf-8b699a5e943c,im Oberdorf,Bernhard,Dr.,SVP,12,108
c85d5fb7-dab9-486d-9384-b87e847c43e7,Isliker,Walter,,SVP,,0
ce8041b1-19af-4e73-8c30-0b2577592bbd,Iten,Stephan,,SVP,11,107
efe80b5d-4fa0-49f0-b8ee-070ab43ab8b9,Jacobi,Heinz,,SP,,0
bdcb01cf-2c99-442d-a5e6-07e4d18711cc,Jäger,Alexander,,FDP,,0
